Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_000962.3,63909,64967,,plus,887004,
NC_000962.3,65012,65350,,minus,14515843,
NC_000962.3,65552,66694,celA1,plus,887007,
NC_000962.3,66923,68362,,plus,886999,
NC_000962.3,68418,68579,,plus,19394667,
NC_000962.3,68620,71559,,plus,886996,
NC_000962.3,71589,71828,vapB1,plus,14515844,
NC_000962.3,71821,72222,vapC1,plus,886993,
NC_000962.3,72274,74511,icd2,minus,887016,
NC_000962.3,74629,75198,,minus,886991,
NC_000962.3,75301,76212,,plus,886989,
NC_000962.3,76237,77622,sdaA,minus,886986,
NC_000962.3,77619,78896,glyA2,minus,886983,
NC_000962.3,79486,80193,,plus,886988,
NC_000962.3,80624,81673,,plus,886984,
NC_000962.3,81676,82668,,plus,886977,
NC_000962.3,82748,83983,,plus,886976,
NC_000962.3,83996,85168,,plus,886982,
NC_000962.3,85183,85572,,minus,886992,
NC_000962.3,85636,86466,,minus,886969,
NC_000962.3,86528,87133,,plus,886990,
NC_000962.3,87208,87801,,minus,3205053,
NC_000962.3,87798,88004,,minus,14515845,
NC_000962.3,88204,89025,,plus,886995,
NC_000962.3,89022,89480,,plus,886966,
NC_000962.3,89575,89919,,plus,887012,
NC_000962.3,89924,90403,,plus,886968,
NC_000962.3,90400,92322,,plus,886965,
NC_000962.3,92328,93278,hycD,plus,886959,
NC_000962.3,93289,93951,hycP,plus,886973,
NC_000962.3,93951,95417,hycQ,plus,886963,
NC_000962.3,95414,96892,hycE,plus,886956,
NC_000962.3,96927,97601,,plus,886954,
NC_000962.3,97758,98351,,plus,886949,
NC_000962.3,98480,99250,,plus,886961,
NC_000962.3,99684,100451,mtn,plus,886953,
NC_000962.3,100583,102868,ctpA,plus,886946,
NC_000962.3,102815,103663,,minus,886945,
NC_000962.3,103710,104663,,minus,886943,
NC_000962.3,104805,105215,,minus,886940,
NC_000962.3,105324,106715,PPE1,plus,886938,
NC_000962.3,106734,107603,,plus,886942,
NC_000962.3,107600,108151,fcoT,plus,886935,
NC_000962.3,108156,109778,fadD10,plus,886933,
NC_000962.3,109783,110019,,plus,886931,
NC_000962.3,110001,117539,nrp,plus,886951,
NC_000962.3,117714,119699,,plus,886926,
NC_000962.3,119915,122173,ctpB,minus,886928,
NC_000962.3,122317,123831,,plus,886923,
NC_000962.3,123980,124264,rpmB1,minus,886920,
NC_000962.3,124374,125570,,plus,886919,
NC_000962.3,125643,130541,ctpI,minus,886915,
NC_000962.3,130895,131104,,minus,886918,
NC_000962.3,131382,132872,PE_PGRS1,plus,886912,
NC_000962.3,133020,133769,,plus,886917,
NC_000962.3,133950,136007,,plus,886909,
NC_000962.3,136289,137245,gca,plus,886907,
NC_000962.3,137319,137909,gmhA,plus,886905,
NC_000962.3,137941,138513,gmhB,plus,886903,
NC_000962.3,138513,139673,hddA,plus,886902,
NC_000962.3,139956,140144,,plus,19394668,
NC_000962.3,140267,141022,ldtA,minus,886900,
NC_000962.3,141200,142144,oxyS,plus,886914,
NC_000962.3,142128,143876,oxcA,minus,886898,
NC_000962.3,144049,145626,fadD7,plus,886896,
NC_000962.3,145627,147771,fusA2,minus,886894,
NC_000962.3,147908,148342,,minus,886892,
NC_000962.3,148491,148859,,plus,886888,
NC_000962.3,148856,149224,,plus,886887,
NC_000962.3,149533,150996,PE_PGRS2,plus,886883,
NC_000962.3,151148,152215,pepA,plus,886924,
NC_000962.3,152324,154129,treS,plus,886881,
NC_000962.3,154232,155599,mak,plus,886880,
NC_000962.3,155667,156446,,plus,886878,
NC_000962.3,156578,157600,fbpC,minus,886885,
NC_000962.3,157847,158302,htdZ,plus,886876,
NC_000962.3,158315,159658,fadE1,minus,886874,
NC_000962.3,159700,160782,fgd2,minus,886877,
NC_000962.3,160869,161474,,plus,886873,
NC_000962.3,161771,162673,ephF,plus,886871,
NC_000962.3,162644,163249,,minus,886869,
NC_000962.3,163366,164691,cyp138,plus,886868,
NC_000962.3,164712,165260,msrA,minus,886865,
NC_000962.3,165323,165826,,plus,886863,
NC_000962.3,165827,166849,,plus,886860,
NC_000962.3,166910,167290,,plus,886859,
NC_000962.3,167271,167681,,minus,886872,
NC_000962.3,167711,168637,,plus,886858,
NC_000962.3,168704,170182,,minus,886856,
NC_000962.3,170284,171126,,plus,886854,
NC_000962.3,171215,172168,,plus,886851,
NC_000962.3,172211,173143,,plus,886849,
NC_000962.3,173238,174758,,plus,886847,
NC_000962.3,174833,175693,,plus,886845,
NC_000962.3,175700,176668,,plus,886843,
NC_000962.3,176665,176952,,minus,886840,
NC_000962.3,177543,179309,PE1,minus,886857,
NC_000962.3,179319,180896,PE2,minus,886838,
NC_000962.3,181155,181985,ptbB,minus,886842,
NC_000962.3,181987,183198,fadE2,minus,886836,
NC_000962.3,183622,184722,pntAa,plus,886832,
NC_000962.3,184723,185055,pntAb,plus,886890,
NC_000962.3,185052,186479,pntB,plus,886830,
NC_000962.3,186495,186623,,minus,3205086,
NC_000962.3,186785,187429,,plus,886828,
NC_000962.3,187433,188839,PE3,minus,886826,
NC_000962.3,188931,190439,PE4,minus,886825,
NC_000962.3,190607,191956,,plus,886835,
NC_000962.3,191984,193135,adhE1,minus,886824,
NC_000962.3,193117,193572,,plus,886821,
NC_000962.3,193626,194111,TB18.5,plus,886267,
NC_000962.3,194144,194815,mce1R,minus,886818,
NC_000962.3,194993,196657,fadD5,plus,886822,
NC_000962.3,196861,197658,yrbE1A,plus,886816,
NC_000962.3,197660,198529,yrbE1B,plus,886812,
NC_000962.3,198534,199898,mce1A,plus,886823,
NC_000962.3,199895,200935,mce1B,plus,886810,
NC_000962.3,200932,202479,mce1C,plus,886808,
NC_000962.3,202476,204068,mce1D,plus,886807,
NC_000962.3,204065,205237,lprK,plus,886804,
NC_000962.3,205231,206778,mce1F,plus,886820,
NC_000962.3,206814,207455,,plus,886801,
NC_000962.3,207452,208420,,plus,886799,
NC_000962.3,208417,208971,,plus,886795,
NC_000962.3,208938,209672,,plus,886814,
NC_000962.3,209703,210812,lprO,minus,886796,
NC_000962.3,210892,212250,,minus,886792,
NC_000962.3,212277,213011,,minus,886788,
NC_000962.3,213028,214140,sigG,minus,886786,
NC_000962.3,214088,214927,,plus,886785,
NC_000962.3,214969,215718,,plus,886806,
NC_000962.3,215715,216224,,plus,886782,
NC_000962.3,216269,218344,bglS,plus,886780,
NC_000962.3,218390,218551,mymT,minus,14515880,
NC_000962.3,218705,219367,,plus,886779,
NC_000962.3,219486,219917,,plus,886776,
NC_000962.3,219996,221723,ilvD,minus,886774,
NC_000962.3,221871,222161,,plus,886772,
NC_000962.3,222289,223530,,plus,886770,
NC_000962.3,223564,224664,,plus,886768,
NC_000962.3,224724,226571,,minus,886764,
NC_000962.3,226878,230462,,plus,886790,
NC_000962.3,230899,231534,,plus,886762,
NC_000962.3,231647,232231,,plus,886760,
NC_000962.3,232231,234519,,plus,886758,
NC_000962.3,234516,236507,zmp1,minus,886755,
NC_000962.3,236550,237209,,plus,886753,
NC_000962.3,237206,237895,,plus,886803,
NC_000962.3,237892,238395,,minus,886756,
NC_000962.3,238392,241292,mmpL11,minus,886750,
NC_000962.3,241514,241924,,plus,886748,
NC_000962.3,241976,243214,,minus,886747,
NC_000962.3,243384,244487,,plus,886766,
NC_000962.3,244484,247318,mmpL3,minus,886752,
NC_000962.3,247384,248112,,minus,886742,
NC_000962.3,248115,248906,,minus,886740,
NC_000962.3,249038,250123,,plus,886739,
NC_000962.3,250120,251598,,plus,886735,
NC_000962.3,251782,253602,pckA,plus,886744,
NC_000962.3,253669,254640,nadR,minus,886734,
NC_000962.3,254637,255950,,minus,886746,
NC_000962.3,256064,257677,fadD4,plus,886737,
NC_000962.3,257719,258856,,minus,886730,
NC_000962.3,258913,259926,,plus,886729,
NC_000962.3,259923,260831,lipW,minus,886726,
NC_000962.3,260924,262252,,plus,886727,
NC_000962.3,262254,262802,,plus,886725,
NC_000962.3,262812,264023,lipC,plus,886722,
NC_000962.3,264067,265476,,plus,886719,
NC_000962.3,265507,266295,echA1,plus,886723,
NC_000962.3,266301,267764,,minus,886718,
NC_000962.3,267863,268627,,minus,886715,
NC_000962.3,268663,269817,,plus,886713,
NC_000962.3,269834,271564,,minus,886711,
NC_000962.3,271574,272839,,minus,886710,
NC_000962.3,273055,274278,,plus,886708,
NC_000962.3,274306,274986,,minus,886724,
NC_000962.3,274983,275963,php,minus,886705,
NC_000962.3,276058,277764,fadE4,plus,886703,
NC_000962.3,277899,278588,,plus,886701,
NC_000962.3,278585,279529,nrdB,plus,886699,
NC_000962.3,279605,281140,gabD1,minus,886732,
NC_000962.3,281166,282614,,minus,886695,
NC_000962.3,282649,286851,aftD,minus,886707,
NC_000962.3,286898,287071,,minus,3205106,
NC_000962.3,287186,288352,lpqI,plus,886693,
NC_000962.3,288428,289042,,plus,886691,
NC_000962.3,289104,289337,vapB24,plus,886689,
NC_000962.3,289345,289782,vapC24,plus,886688,
NC_000962.3,289812,290654,htdX,minus,886686,
NC_000962.3,290665,292029,fabG4,minus,886697,
NC_000962.3,292171,293493,fadA2,plus,886682,
NC_000962.3,293604,293705,F6,plus,14515886,
NC_000962.3,293798,295633,fadE5,minus,886698,
NC_000962.3,296005,296493,,plus,886680,
NC_000962.3,296809,298119,,plus,886678,
NC_000962.3,298116,298862,,minus,886677,
NC_000962.3,298863,300803,,minus,886675,
NC_000962.3,300834,301655,,minus,886671,
NC_000962.3,301735,302028,,minus,886669,
NC_000962.3,302173,302652,hsp,minus,886667,
NC_000962.3,302866,305427,nirB,plus,886665,
NC_000962.3,305453,305809,nirD,plus,886664,
NC_000962.3,305825,306349,cobU,minus,886661,
NC_000962.3,306374,307858,cobQ1,minus,886673,
NC_000962.3,307877,309547,PPE2,minus,886684,
NC_000962.3,309699,310073,,plus,3205110,
NC_000962.3,310294,310749,,minus,886654,
NC_000962.3,310774,311517,,minus,886657,
NC_000962.3,311514,312659,,minus,886651,
NC_000962.3,312759,314168,narK3,minus,886663,
NC_000962.3,314309,314854,aac,minus,886648,
NC_000962.3,314864,315766,,minus,886659,
NC_000962.3,315783,316415,,minus,886646,
NC_000962.3,316511,317503,,minus,886650,
NC_000962.3,317525,321154,oplA,minus,886642,
NC_000962.3,321331,322722,narU,plus,886644,
NC_000962.3,322764,323273,,minus,886647,
NC_000962.3,323338,324531,,minus,886640,
NC_000962.3,324567,326249,fadD2,plus,886637,
NC_000962.3,326266,328461,fadE6,minus,886641,
NC_000962.3,328575,329708,,minus,886635,
NC_000962.3,329705,330325,,minus,886633,
NC_000962.3,330422,331003,,plus,886631,
NC_000962.3,330933,331658,,minus,886629,
NC_000962.3,331748,332668,,plus,886627,
NC_000962.3,332708,333136,vapC25,minus,886625,
NC_000962.3,333160,333417,vapB25,minus,14515902,
NC_000962.3,333437,336310,,minus,886623,
NC_000962.3,336560,339073,PE_PGRS4,minus,886621,
NC_000962.3,339364,340974,PPE3,plus,886619,
NC_000962.3,340998,341906,,plus,886618,
NC_000962.3,342130,344025,eccA3,plus,886613,
NC_000962.3,344022,345638,eccB3,plus,886645,
NC_000962.3,345635,349627,eccC3,plus,886611,
NC_000962.3,349624,349932,PE5,plus,886608,
NC_000962.3,349935,351476,PPE4,plus,886607,
NC_000962.3,351525,351818,esxG,plus,886604,
NC_000962.3,351848,352138,esxH,plus,886603,
NC_000962.3,352149,353036,espG3,plus,886602,
NC_000962.3,353083,354501,eccD3,plus,886599,
NC_000962.3,354498,355883,mycP3,plus,886615,
NC_000962.3,355880,356875,eccE3,plus,886601,
NC_000962.3,356862,358064,,minus,886594,
NC_000962.3,358171,358956,tam,plus,886593,
NC_000962.3,358945,359748,,minus,886596,
NC_000962.3,359758,361155,,minus,886600,
NC_000962.3,361334,363109,PE_PGRS5,plus,885981,
NC_000962.3,363252,363479,,plus,886590,
NC_000962.3,363476,363778,,plus,886598,
NC_000962.3,363826,364047,vapB2,plus,886588,
NC_000962.3,364044,364469,vapC2,plus,886586,
NC_000962.3,364605,365237,,plus,886584,
NC_000962.3,365234,366142,,plus,886581,
NC_000962.3,366150,372764,PPE5,minus,886592,
NC_000962.3,372820,375711,PPE6,minus,885978,
NC_000962.3,375914,376585,,plus,886577,
NC_000962.3,376573,377055,,minus,886580,
NC_000962.3,377113,377829,,plus,886583,
NC_000962.3,377931,378587,,plus,886574,
NC_000962.3,378657,379148,,minus,886570,
NC_000962.3,379172,380401,,plus,886579,
NC_000962.3,380556,382418,,plus,886566,
NC_000962.3,382490,382876,,plus,886572,
NC_000962.3,382879,383541,,minus,886564,
NC_000962.3,383602,384486,,plus,886563,
NC_000962.3,384535,385149,,plus,886560,
NC_000962.3,385173,385943,glpQ2,minus,886559,
NC_000962.3,386204,386274,glyU,minus,2700441,
NC_000962.3,386305,387099,,minus,886576,
NC_000962.3,387148,387816,pcp,plus,886555,
NC_000962.3,387888,388550,,plus,886553,
NC_000962.3,388582,389154,dcd,plus,886552,
NC_000962.3,389260,390591,udgA,plus,886550,
NC_000962.3,390580,391251,,minus,886557,
NC_000962.3,391352,392032,,plus,886548,
NC_000962.3,392039,392263,,plus,886546,
NC_000962.3,392273,392728,,plus,886544,
NC_000962.3,392696,394045,cyp135A1,minus,886538,
NC_000962.3,394111,394713,,plus,886542,
NC_000962.3,394694,395320,,minus,886536,
NC_000962.3,395347,396087,,minus,886540,
NC_000962.3,396201,397367,,plus,886534,
NC_000962.3,397442,398227,,plus,886532,
NC_000962.3,398254,398628,,plus,886528,
NC_000962.3,398658,399524,rmlA,plus,886568,
NC_000962.3,399535,400050,PE6,minus,886527,
NC_000962.3,400192,401703,,plus,886524,
NC_000962.3,401873,403162,aspC,minus,886522,
NC_000962.3,403193,405841,,minus,886520,
NC_000962.3,405950,408448,,minus,886516,
NC_000962.3,408634,409173,,plus,886514,
NC_000962.3,409362,410801,iniB,plus,886518,
NC_000962.3,410838,412760,iniA,plus,886510,
NC_000962.3,412757,414238,iniC,plus,886508,
NC_000962.3,414381,414941,lpqJ,minus,886512,
NC_000962.3,415050,415460,,plus,886505,
NC_000962.3,415502,416965,ansP2,minus,886530,
NC_000962.3,417304,418290,,plus,886501,
NC_000962.3,418293,418946,,plus,886500,
NC_000962.3,418949,419608,,plus,886506,
NC_000962.3,419835,421712,dnaK,plus,885946,
NC_000962.3,421709,422416,grpE,plus,886497,
NC_000962.3,422452,423639,dnaJ1,plus,886495,
NC_000962.3,423639,424019,hspR,plus,885929,
NC_000962.3,424269,424694,PPE7,minus,886498,
NC_000962.3,424777,434679,PPE8,minus,886491,
NC_000962.3,434830,435474,,minus,886490,
NC_000962.3,435471,436769,purA,minus,886484,
NC_000962.3,436860,437507,,plus,886493,
NC_000962.3,437518,438297,,plus,886482,
NC_000962.3,438302,438739,,minus,886480,
NC_000962.3,438822,439649,,plus,886478,
NC_000962.3,439871,441253,mgtE,plus,886476,
NC_000962.3,441265,442299,fba,minus,886474,
NC_000962.3,442395,443078,,plus,886473,
NC_000962.3,443067,444197,,minus,886487,
NC_000962.3,444222,444815,,minus,886471,
NC_000962.3,444844,445233,,minus,886468,
NC_000962.3,445314,446525,,minus,886469,
NC_000962.3,446531,447046,,minus,886485,
NC_000962.3,447147,448043,,minus,886465,
NC_000962.3,448040,448633,,minus,886463,
NC_000962.3,448630,449385,,minus,886460,
NC_000962.3,449404,451803,,minus,886472,
NC_000962.3,451800,452279,,minus,886462,
NC_000962.3,452294,453154,,minus,886456,
NC_000962.3,453230,454372,,minus,886454,
NC_000962.3,454421,455386,,plus,886452,
NC_000962.3,455637,455858,,plus,886450,
NC_000962.3,455977,456192,secE2,plus,886449,
NC_000962.3,456268,456819,,minus,886446,
NC_000962.3,456915,457823,,minus,886444,
NC_000962.3,457841,458380,pyrE,minus,886443,
NC_000962.3,458461,459315,,minus,886458,
NC_000962.3,459456,462002,clpB,minus,886440,
NC_000962.3,462135,463307,,plus,886441,
NC_000962.3,463411,466668,,plus,886030,
NC_000962.3,466672,468001,,minus,886436,
NC_000962.3,468335,469594,purT,plus,886032,
NC_000962.3,469591,470013,,plus,886433,
NC_000962.3,470010,471230,metZ,plus,886431,
NC_000962.3,471227,472639,ndhA,minus,886430,
NC_000962.3,472781,474106,,plus,886428,
NC_000962.3,474122,474841,,minus,886435,
NC_000962.3,474940,475344,,plus,886425,
NC_000962.3,475350,475742,,plus,886423,
NC_000962.3,475816,476184,,plus,886421,
NC_000962.3,476394,476642,,plus,14515846,
NC_000962.3,476679,477320,,minus,886419,
NC_000962.3,477327,478556,lpqK,minus,886416,
NC_000962.3,478566,479753,fadE7,minus,886427,
NC_000962.3,479789,480160,,plus,886438,
NC_000962.3,480355,483231,mmpL1,minus,886413,
NC_000962.3,483228,483656,mmpS1,minus,886411,
NC_000962.3,483977,485734,fadD30,plus,886409,
NC_000962.3,485731,489939,pks6,plus,886407,
NC_000962.3,489887,490705,,minus,886403,
NC_000962.3,490783,491793,fgd1,plus,886418,
NC_000962.3,491786,493858,pta,plus,886401,
NC_000962.3,493851,495008,ackA,plus,886399,
NC_000962.3,495062,497314,pknG,minus,886397,
NC_000962.3,497314,498300,glnH,minus,886393,
NC_000962.3,498300,499619,,minus,886415,
NC_000962.3,499713,500366,mutT3,plus,886405,
NC_000962.3,500350,501018,thiE,minus,886391,
NC_000962.3,501148,502170,thiO,plus,886390,
NC_000962.3,502167,502373,thiS,plus,886395,
NC_000962.3,502366,503124,thiG,plus,886396,
NC_000962.3,503496,504998,lpqL,plus,886381,
NC_000962.3,505086,506582,lpqM,plus,886388,
NC_000962.3,506561,506971,,minus,886383,
NC_000962.3,507132,507761,,minus,886377,
NC_000962.3,507758,508555,thiD,minus,886375,
NC_000962.3,508582,510225,thiC,minus,886379,
NC_000962.3,510377,510652,,minus,886374,
NC_000962.3,510702,515321,ctpH,minus,886373,
NC_000962.3,515373,515816,,minus,886387,
NC_000962.3,516017,516892,xthA,minus,886370,
NC_000962.3,516895,517803,,minus,886368,
NC_000962.3,517803,518396,def,minus,886366,
NC_000962.3,518733,519041,,plus,886364,
NC_000962.3,519073,519567,,plus,886362,
NC_000962.3,519600,520322,sodC,plus,886358,
NC_000962.3,520324,521454,,plus,886356,
NC_000962.3,521514,522167,,plus,886360,
NC_000962.3,522347,524533,,minus,886352,
NC_000962.3,524530,525390,pssA,minus,886385,
NC_000962.3,525387,526082,psd,minus,886350,
NC_000962.3,526143,527360,moeA2,minus,886348,
NC_000962.3,527379,528314,,minus,886342,
NC_000962.3,528608,530230,groEL2,plus,886354,
NC_000962.3,530296,530724,,minus,886344,
NC_000962.3,530751,532214,PPE10,minus,886340,
NC_000962.3,532396,532911,,plus,886336,
NC_000962.3,533091,533789,rskA,minus,886346,
NC_000962.3,533833,534396,sigK,minus,886334,
NC_000962.3,534445,535215,,minus,886332,
NC_000962.3,535224,536507,ufaA1,minus,886330,
NC_000962.3,536504,537169,,minus,886328,
NC_000962.3,537229,538548,,minus,886326,
NC_000962.3,538588,541491,mmpL4,minus,886323,
NC_000962.3,541488,541910,mmpS4,minus,886321,
NC_000962.3,542142,542852,,plus,886319,
NC_000962.3,543174,544730,PPE11,plus,886317,
NC_000962.3,545375,545821,,minus,886314,
NC_000962.3,545889,546803,echA2,minus,886312,
NC_000962.3,547076,547357,mazF1,minus,3205039,
NC_000962.3,547344,547517,mazE1,minus,14515889,
NC_000962.3,547586,549607,,minus,886310,
NC_000962.3,549675,551198,,plus,886306,
NC_000962.3,551198,551689,,plus,886372,
NC_000962.3,551749,551988,,plus,886304,
NC_000962.3,552026,552550,,plus,886302,
NC_000962.3,552614,554008,lpdC,plus,886300,
NC_000962.3,554016,554309,,plus,886299,
NC_000962.3,554313,554885,,minus,886296,
NC_000962.3,554882,556306,,minus,886320,
NC_000962.3,556458,557252,,plus,886294,
NC_000962.3,557527,558813,icl1,plus,886291,
NC_000962.3,558895,559755,fadB2,plus,886288,
NC_000962.3,559888,560748,umaA,plus,886286,
NC_000962.3,560848,561711,pcaA,minus,886284,
NC_000962.3,561854,562294,,minus,3205059,
NC_000962.3,562225,562713,,minus,886280,
NC_000962.3,562723,563427,,minus,886308,
NC_000962.3,563564,564934,,plus,886279,
NC_000962.3,565021,565443,,plus,886276,
NC_000962.3,565797,566396,hbhA,plus,886272,
NC_000962.3,566508,566771,,plus,886282,
NC_000962.3,566776,567222,,plus,886273,
NC_000962.3,567222,567896,deoC,plus,888425,
NC_000962.3,567921,568967,,minus,885535,
NC_000962.3,568964,569806,,minus,887163,
NC_000962.3,569988,570512,,minus,887161,
NC_000962.3,570539,571648,murB,plus,887169,
NC_000962.3,571710,573065,lprQ,plus,887167,
NC_000962.3,573046,573801,,minus,887158,
NC_000962.3,573984,575300,,plus,887170,
NC_000962.3,575348,576790,mshA,plus,887160,
NC_000962.3,576787,577338,,plus,887162,
NC_000962.3,577664,578269,,plus,887171,
NC_000962.3,578426,579175,gpm1,plus,887183,
NC_000962.3,579349,580581,senX3,plus,887185,
NC_000962.3,580809,581492,regX3,plus,887195,
NC_000962.3,581489,583378,,minus,887199,
NC_000962.3,583375,583704,,minus,3205069,
NC_000962.3,583701,584690,,minus,887200,
NC_000962.3,584695,585423,,plus,887166,
NC_000962.3,585424,586314,,minus,887198,
NC_000962.3,586394,587380,,plus,887234,
NC_000962.3,587377,588309,,plus,887240,
NC_000962.3,588325,589167,,plus,887238,
NC_000962.3,589183,590058,,plus,887243,
NC_000962.3,590083,590970,proC,plus,887256,
NC_000962.3,591111,591347,,plus,3205035,
NC_000962.3,591654,592784,galE2,plus,887228,
NC_000962.3,592791,593867,,plus,887260,
NC_000962.3,593871,594779,cmaA2,minus,887264,
NC_000962.3,594802,595302,,minus,887268,
NC_000962.3,595464,596585,serB1,minus,887270,
NC_000962.3,596759,597202,mmpS2,plus,887279,
NC_000962.3,597199,600105,mmpL2,plus,887248,
NC_000962.3,600098,600391,,plus,887301,
NC_000962.3,600441,601847,hemA,plus,887292,
NC_000962.3,601857,602786,hemC,plus,887306,
NC_000962.3,602819,604516,hemD,plus,887280,
NC_000962.3,604602,605591,hemB,plus,887312,
NC_000962.3,605604,606152,,plus,887307,
NC_000962.3,606149,606448,,plus,887319,
NC_000962.3,606551,608062,,plus,887322,
NC_000962.3,608059,608535,,minus,887324,
NC_000962.3,608746,610056,,plus,887323,
NC_000962.3,610188,610883,,plus,887321,
NC_000962.3,611172,612074,,minus,887334,
NC_000962.3,613038,614342,gabP,plus,886261,
NC_000962.3,614326,614721,,minus,887341,
NC_000962.3,614835,616223,hemL,plus,887349,
NC_000962.3,616223,616831,,plus,887358,
NC_000962.3,616846,617496,,plus,887339,
NC_000962.3,617493,618272,ccdA,plus,887362,
NC_000962.3,618305,619894,,plus,887372,
NC_000962.3,619891,620865,ccsA,plus,887380,
NC_000962.3,620907,622124,,plus,887385,
NC_000962.3,622121,622282,,minus,14515848,
NC_000962.3,622329,622646,,plus,887376,
NC_000962.3,622793,624577,PE_PGRS6,plus,887391,
NC_000962.3,624473,625480,fabH,minus,887381,
NC_000962.3,625562,626440,menA,minus,887408,
NC_000962.3,626457,627251,,plus,887430,
NC_000962.3,627248,628288,galE3,plus,887457,
NC_000962.3,628298,629731,,minus,887465,
NC_000962.3,630040,631686,,plus,887473,
NC_000962.3,631743,632375,,plus,887476,
NC_000962.3,632372,633034,,plus,887489,
NC_000962.3,633055,634404,,minus,887416,
NC_000962.3,634416,635504,menE,minus,887507,
NC_000962.3,635573,635875,,minus,887494,
NC_000962.3,635935,636213,,minus,887511,
NC_000962.3,636210,637463,pitA,minus,887517,
NC_000962.3,637583,637969,,minus,887509,
NC_000962.3,638032,638916,,minus,887527,
NC_000962.3,639012,639956,menB,minus,887529,
NC_000962.3,640228,640641,vapC3,minus,887534,
NC_000962.3,640638,640904,vapB3,minus,887515,
NC_000962.3,641096,642811,fadD8,minus,887526,
NC_000962.3,642889,644493,,plus,887537,
NC_000962.3,644490,645470,menC,plus,887544,
NC_000962.3,645467,646255,bpoC,plus,887535,
NC_000962.3,646298,647962,menD,plus,887554,
NC_000962.3,647959,648474,,plus,887551,
NC_000962.3,648536,649672,mgtA,plus,887609,
NC_000962.3,649689,650393,menH,plus,887591,
NC_000962.3,650407,650745,,minus,887569,
NC_000962.3,650779,651504,,minus,887637,
NC_000962.3,651529,652755,,minus,887638,
NC_000962.3,652771,653778,grcC1,plus,887647,
NC_000962.3,653879,654739,htpX,plus,887649,
NC_000962.3,654924,655949,gpdA1,minus,887651,
NC_000962.3,656010,657470,,minus,887662,
NC_000962.3,657548,658039,,minus,887633,
NC_000962.3,658109,658189,tyrT,plus,2700426,
NC_000962.3,658321,659340,,plus,887667,
NC_000962.3,659450,660868,cyp135B1,plus,887654,
NC_000962.3,661003,661269,,plus,887678,
NC_000962.3,661295,663373,nrdZ,plus,887666,
NC_000962.3,663487,664818,,minus,887710,
